INPUT_TABLE
Variable ID
GHGLink_start

"region","linked-ghg-policy","price-adjust-year","price-adjust","demand-adjust-year","demand-adjust","market","linked-policy","price-unit","output-unit"
"Brazil","N2O_AWB",2020,0,2020,298,"Brazil","GHG","1990$/tN2O","TgN2O"
"Brazil","N2O_AGR",2020,0,2020,298,"Brazil","GHG","1990$/tN2O","TgN2O"
"Brazil","CO2_LUC",2020,0.01,2020,3.666666667,"Brazil","GHG","1990$/tC","MTC"
"Brazil","HFC143a",2020,0,2020,4.47,"Brazil","GHG","1990$/GgHFC143a","GgHFC143a"
"Brazil","HFC152a",2020,0,2020,0.124,"Brazil","GHG","1990$/GgHFC152a","GgHFC152a"
"Brazil","HFC227ea",2020,0,2020,3.22,"Brazil","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Brazil","HFC23",2020,0,2020,14.8,"Brazil","GHG","1990$/GgHFC23","GgHFC23"
"Brazil","HFC236fa",2020,0,2020,9.81,"Brazil","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Brazil","HFC32",2020,0,2020,0.675,"Brazil","GHG","1990$/GgHFC32","GgHFC32"
"Brazil","HFC365mfc",2020,0,2020,0.794,"Brazil","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Canada","CO2",2020,1,2020,3.666666667,"Canada","GHG","1990$/tC","MTC"
"Canada","CH4",2020,0,2020,25,"Canada","GHG","1990$/tCH4","TgCH4"
"Canada","N2O",2020,0,2020,298,"Canada","GHG","1990$/tN2O","TgN2O"
"Canada","C2F6",2020,0,2020,12.2,"Canada","GHG","1990$/tC2F6","GgC2F6"
"Canada","CF4",2020,0,2020,7.39,"Canada","GHG","1990$/tCF4","GgCF4"
"Canada","HFC125",2020,0,2020,3.5,"Canada","GHG","1990$/GgHFC125","GgHFC125"
"Canada","HFC134a",2020,0,2020,1.43,"Canada","GHG","1990$/GgHFC134a","GgHFC134a"
"Canada","HFC245fa",2020,0,2020,1.03,"Canada","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Canada","SF6",2020,0,2020,22.8,"Canada","GHG","1990$/tSF6","GgSF6"
"Canada","CH4_AWB",2020,0,2020,25,"Canada","GHG","1990$/tCH4","TgCH4"
"Canada","CH4_AGR",2020,0,2020,25,"Canada","GHG","1990$/tCH4","TgCH4"
"Canada","N2O_AWB",2020,0,2020,298,"Canada","GHG","1990$/tN2O","TgN2O"
"Canada","N2O_AGR",2020,0,2020,298,"Canada","GHG","1990$/tN2O","TgN2O"
"Canada","CO2_LUC",2020,0.01,2020,3.666666667,"Canada","GHG","1990$/tC","MTC"
