iso,country,GCAM_region,source,rule,GHGs,CO2,CH4,N2O,HFCs,PFCs,SF6,other_GHG,GHG_total,LULUCF,sectors_C2ES,energy,industry,ag,LULUCF,waste,other_sector,INDC_UC,INDC_CN,INDC_UC_MtCO2eq,INDC_CN_MtCO2eq,target_type,ref_point,BY_emiss_source,BY_emiss_net_Mt_CO2e,BY_emiss_gross_Mt_CO2e,GWP,target_year,ref_emiss,notes
gnb,Guinea-Bissau,Africa_Western,C2ES,3a,"CO2, CH4, NOx",1,1,,,,,NOx,2,1,"Energy, forestry",1,,,1,,,,,,,action_conditional,,,,,,,,
guy,Guyana,South America_Northern,C2ES,3a,CO2,1,,,,,,,1,1,"Energy, forestry",1,,,1,,,,Up to 52 million tonnes of CO2 equivalent of mitigation and a 20% share of total energy from renewables by 2025 (conditional) ,,,non_GHG,,,,,N/A,,,
hti,Haiti,Central America and Caribbean,C2ES,3,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, land-use and forestry, waste",1,,1,1,,,-0.05,-0.26,,,BAU,BAU,,,,SAR,2030,,"Check BAU against chart in INDC (pg 7, ~20 Mt)"
hnd,Honduras,Central America and Caribbean,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, industrial processes, agriculture, waste",1,1,1,,1,,0,-0.15,,,BAU,BAU,INDC,,28.922,SAR,2030,28.922,
isl,Iceland,European Free Trade Association,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy; Industrial processes and product use; Agriculture; Waste; Land Use, Land-Use Change and Forestry)",1,1,1,1,1,,-0.4,-0.4,,,base_year,1990,Minji/ ADVANCE,4.713,,,2030,4.713,
ind,India,India,ADVANCE,1,UNSPECIFIED,1,,,,,,,1,0,UNSPECIFIED,1,,,,,,-0.33,-0.35,,,intensity_GDP,2005,Planning Commission,,7933.543,,2030,7933.543,ref_emiss imputed from ADVANCE; implement additional INDC policies?
idn,Indonesia,Indonesia,ADVANCE,1,"CO2, CH4, N20",1,1,1,,,,,3,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.29,-0.41,,,BAU,BAU,INDC,2881,1917.909,AR4,2030,2881,
irn,"Iran, Islamic Republic of",Middle East,C2ES,3,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"""These additional mitigation actions will be achieved through focusing on energy sector and industrial processes, as well as conservation and development of forests, sustainable agriculture and waste management""",1,1,1,1,1,,-0.04,-0.12,,,BAU,BAU,,,,,2030,,
irq,Iraq,Middle East,WB,3,CO2,1,,,,,,,1,0,UNSPECIFIED,1,,,,,,-0.01,-0.14,,,BAU,BAU,,,,N/A,2035,,
isr,Israel,Middle East,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,0,"Energy, transport, industrial processes, buildings, agriculture, waste",1,1,1,,1,,-0.23,-0.23,81.65,,limit,BAU,INDC,,105.5,SAR,2030,105.5,MB: imputed % reduction
jam,Jamaica,Central America and Caribbean,MB,2,"CO2, CH4, N2O, NOx, CO, VOCs, SO2",1,1,1,,,,"NOx, CO, VOCs, SO2",3,0,Energy,1,,,,,,-0.08,-0.1,,,BAU,BAU,INDC,,14.492,,2030,14.492,INDC also gives 2025 targets (see pg. 4)
jpn,Japan,Japan,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.26,-0.26,,,base_year,2013,INDC,,1408,AR4,2030,1408,See additional information for reduction per GHG
jor,Jordan,Middle East,Minji,2,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"All (Energy (including transport), waste, industrial processes, agriculture and land-use, land-use change and forestry (LULUCF) and solvents)",1,1,1,1,1,,-0.02,-0.14,,,BAU,BAU,INDC,51.028,,,2030,51.028,
kaz,Kazakhstan,Central Asia,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"Energy, agriculture, land-use, land-use change and forestry, waste",1,,1,1,1,,-0.15,-0.25,,,base_year,1990,UNFCCC,322,,AR4,2030,322,"1990 emissions in Second National Communications to UNFCCC, pg. 43 (http://unfccc.int/resource/docs/natc/kaznc2e.pdf)"
ken,Kenya,Africa_Eastern,C2ES,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, Transportation, Industrial Processes, Agriculture, Forestry and Other Land Use (AFOLU) and waste)",1,1,1,1,1,,0,-0.3,,,BAU,BAU,INDC,143,,SAR,2030,143,
kir,Kiribati,Southeast Asia,Minji,3,CO2,1,,,,,,,1,0,"Energy (power and transport), maritime and coastal areas",1,,,,,maritime and coastal areas,-0.13,-0.62,,,BAU,BAU,,,,N/A,2030,,"Expcted UC reduction in 2030 is 10,090tCO2e, expected conditional reduction in 2030 is 35,880tCO2e."
prk,"Korea, Democratic Peoples Republic of",Southeast Asia,MB,2,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"All (Energy, industrial processes and product use, AFOLU, waste)",1,1,1,1,1,,-0.08,-0.4,172.73,112.18,BAU,BAU,INDC,187.73,,SAR,2030,187.73,
kor,South Korea,South Korea,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,0,"Energy, industrial processes and product use, agriculture and waste",1,1,,1,1,,-0.37,-0.37,,,BAU,2030,INDC,,850.6,SAR,2030,850.6,"""A decision on whether to include LULUCF will be made at a later stage"""
kwt,Kuwait,Middle East,MB,3a,,,,,,,,,0,,Energy,1,,,,,,,,,,action,,,,,,,,
kgz,Kyrgyzstan,Central Asia,MB,3,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy, industrial processes and product use, solvent use, agriculture, land-use, land-use change and forestry (LULUCF), waste)",1,1,1,1,1,,-0.13,-0.3,,,BAU,BAU,,,,SAR,2030,,See section 10 (pg 4) for reduction validation
lao,Lao Peoples Democratic Republic,South Asia,Minji,3a,UNSPECIFIED,1,,,,,,,1,1,"Energy, transport, forestry",1,,,1,,,,,,,action,BAU,,,,,,,Minji estimates -1.54 Mt reduction in 2030 (conditional)
lbn,Lebanon,Middle East,Minji,2,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"All (Energy, industrial processes and other product use, agriculture, land-use, land-use change and forestry, and waste)",1,1,1,1,1,,-0.15,-0.3,,,BAU,BAU,INDC,44,,,2030,44,BAU emissions inferred from graph on pg 6
lso,Lesotho,Africa_Southern,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, agriculture, waste",1,,1,,1,,-0.1,-0.35,,,BAU,BAU,INDC,,3.508,,2030,3.508,
lbr,Liberia,Africa_Western,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, transport and waste",1,,,,1,,0,-0.15,,,BAU,BAU,INDC,,5.302,,2030,5.302,
lby,Libyan Arab Jamahiriya,Africa_Northern,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
lie,Liechtenstein,European Free Trade Association,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy, industrial processes, solvent use, agriculture, LULUCF and waste)",1,1,1,1,1,,-0.4,-0.4,,,base_year,1990,INDC,0.229,,,2030,0.229,
mkd,"Macedonia, the former Yugoslav Republic of",Europe_Non_EU,Minji,2,CO2,1,,,,,,,1,0,"Energy supply, buildings and transport",1,,,,,,-0.3,-0.36,,,BAU,BAU,INDC,,17.663,N/A,2030,17.663,
mdg,Madagascar,Africa_Eastern,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, LULUCF, waste",1,,1,1,1,,0,-0.14,,-69.37,BAU,BAU,INDC,22.095,,SAR,2030,22.095,"Conditional target is 14% reduced emissions (214.206*.86 = 184.22) and 32% more sequestration (-192.111*1.32 = -253.59), total = -69.37"
mwi,Malawi,Africa_Southern,Minji,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes and product use, AFOLU, waste)",1,1,1,1,1,,,,,,action,BAU,,,,,2030,,INDC specifies reduction between 14-16 Mt from BAU in 2030 (assumed fully conditional)
mys,Malaysia,Southeast Asia,ADVANCE,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes, agriculture, land-use, land-use change and forestry, waste)",1,1,1,1,1,,-0.35,-0.45,,,intensity_GDP,2005,INDC,1337.546,,SAR,2030,1337.546,ref_emiss imputed from ADVANCE
mdv,Maldives,South Asia,Minji,2,"CO2, CH4",1,1,,,,,,2,0,"Energy, transportation, waste",1,,,,1,,-0.1,-0.24,,,BAU,BAU,INDC,,3.3,,2030,3.3,
mli,Mali,Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, forests",1,,1,1,,,,,-31.198,-87.222,BAU,BAU,INDC,-31.198,,,2030,-31.198,"Sectoral targets for Energy, ag, LULUCF"
